datum,prvih_pet,zadnji_dve,zmagovalci,sodelujoči
19-05-2023,"1,5,8,20,35","3,12","578,130","19,776,760"
23-05-2023,"1,2,11,14,36","2,3","426,345","12,743,509"
26-05-2023,"1,3,29,45,47","5,8","694,880","21,394,477"
30-05-2023,"2,8,16,21,39","4,5","448,659","13,390,959"
02-06-2023,"8,9,11,13,50","6,11","712,243","24,312,902"
06-06-2023,"5,7,21,22,29","3,10","642,700","17,630,477"
09-06-2023,"8,13,24,35,46","6,8","1,019,181","29,193,591"
13-06-2023,"11,29,32,46,47","5,7","796,039","24,397,698"
16-06-2023,"5,19,33,36,42","7,12","1,229,311","41,677,338"
20-06-2023,"9,18,30,34,48","1,7","1,132,270","37,110,993"
23-06-2023,"2,3,18,23,39","6,8","1,663,296","48,518,072"
27-06-2023,"7,10,13,34,47","5,9","484,118","13,065,312"
30-06-2023,"3,14,23,41,43","2,6","656,945","19,868,915"
04-07-2023,"19,21,23,36,39","5,12","388,954","13,266,273"
07-07-2023,"9,18,20,40,41","3,9","706,920","21,301,308"
11-07-2023,"11,15,17,24,46","2,11","424,280","13,916,631"
14-07-2023,"2,4,12,31,50","6,8","756,170","22,941,322"
18-07-2023,"14,16,24,40,43","1,5","456,589","15,885,855"
21-07-2023,"7,16,22,38,41","5,9","865,441","25,340,361"
25-07-2023,"3,9,11,20,39","2,3","671,992","18,308,270"
28-07-2023,"10,16,34,36,49","3,7","1,036,782","29,288,291"
01-08-2023,"2,9,38,40,44","5,11","689,956","24,770,056"
04-08-2023,"3,17,19,32,38","6,7","1,423,152","40,141,768"
08-08-2023,"6,12,25,31,37","6,9","465,138","13,161,607"
11-08-2023,"1,35,36,38,39","3,10","536,836","19,171,554"
15-08-2023,"12,21,23,26,41","5,6","401,367","11,923,272"
18-08-2023,"2,16,22,28,46","4,8","671,822","18,677,053"
22-08-2023,"8,40,41,46,47","3,11","280,876","11,185,511"
25-08-2023,"2,5,11,27,38","10,12","524,166","18,977,206"
29-08-2023,"14,18,20,39,42","6,9","399,359","12,453,191"
01-09-2023,"1,13,16,23,27","10,11","568,164","20,816,650"
05-09-2023,"9,11,13,15,25","4,9","537,847","13,947,697"
08-09-2023,"21,29,31,46,49","5,6","658,275","22,000,667"
12-09-2023,"5,13,43,45,50","1,10","416,523","14,745,621"
15-09-2023,"3,8,10,31,36","2,3","825,626","23,548,420"
19-09-2023,"8,18,26,38,39","4,12","481,616","16,477,139"
22-09-2023,"14,24,31,44,45","7,11","497,725","18,418,876"
